zip_code,year,avg
10451,2003,271518.617977528
10451,2004,315678.411764706
10451,2005,539336.9375
10451,2006,470658.357142857
10451,2007,757364.550724638
10451,2008,599565.714285714
10451,2009,377789.35
10451,2010,1099844.05714286
10451,2011,525264.405405405
10451,2012,913933.333333333
10451,2013,634717.923076923
10451,2014,843422.580645161
10452,2003,429983.105769231
10452,2004,636432.83
10452,2005,712842.619834711
10452,2006,735786.369565217
10452,2007,1872280.67777778
10452,2008,651505.620689655
10452,2009,604545.8
10452,2010,1946991.90196078
10452,2011,1237606
10452,2012,1449502.63235294
10452,2013,1824234.54716981
10452,2014,1545252.57446809
10453,2003,502059.507772021
10453,2004,428862.87283237
10453,2005,426880.556149733
10453,2006,806095.322222222
10453,2007,956517.511278196
10453,2008,950971.317307692
10453,2009,691714.674418605
10453,2010,862780.260869565
10453,2011,740337.586666667
10453,2012,2117666.13084112
10453,2013,1626057.30851064
10453,2014,1030893.1625
10454,2003,432937.051020408
10454,2004,408808.883211679
10454,2005,279804.070707071
10454,2006,272798.229166667
10454,2007,424842.26984127
10454,2008,756939.614035088
10454,2009,698629.371428571
10454,2010,226625.264705882
10454,2011,281417.88372093
10454,2012,496088.87037037
10454,2013,223800.6
10454,2014,304843.836363636
10455,2003,281555.241935484
10455,2004,194008.73015873
10455,2005,339523.049689441
10455,2006,461088.769230769
10455,2007,405798.611764706
10455,2008,513401.284090909
10455,2009,722056.059701493
10455,2010,319168.348484849
10455,2011,406467.225806452
10455,2012,1547460.12903226
10455,2013,739755.152777778
10455,2014,645705.763636364
10456,2003,322002.436363636
10456,2004,274166.720338983
10456,2005,367621.616949153
10456,2006,509620.076335878
10456,2007,594424.099616858
10456,2008,443547.192513369
10456,2009,210053.485981308
10456,2010,901431.727272727
10456,2011,724792.024193548
10456,2012,944075.046728972
10456,2013,1105006.625
10456,2014,678110.67768595
10457,2003,382160.604395604
10457,2004,486303.074468085
10457,2005,555902.335664336
10457,2006,549456.026315789
10457,2007,954547.666666667
10457,2008,601927.72611465
10457,2009,420352.161290323
10457,2010,1209819.23846154
10457,2011,363105.642201835
10457,2012,559588.603305785
10457,2013,674991.41958042
10457,2014,1369610.23529412
10458,2003,339685.69921875
10458,2004,414299.090252708
10458,2005,550166.344262295
10458,2006,614962.575289575
10458,2007,976728.978540773
10458,2008,802760.775280899
10458,2009,438910.734513274
10458,2010,587094.542253521
10458,2011,660710.144
10458,2012,737614.893442623
10458,2013,1054705.57692308
10458,2014,973231.865591398
10459,2003,199808.72
10459,2004,310513.528225806
10459,2005,302644.485232068
10459,2006,443955.160493827
10459,2007,340298.973214286
10459,2008,256163.654411765
10459,2009,188128.240740741
10459,2010,264459.929411765
10459,2011,498310.66
10459,2012,693870.438095238
10459,2013,558736.708737864
10459,2014,584056.333333333
10460,2003,210925.345588235
10460,2004,390174.665594855
10460,2005,377353.033783784
10460,2006,426752.63022508
10460,2007,710789.445783133
10460,2008,452310.895705521
10460,2009,319853.174311927
10460,2010,557413.848484849
10460,2011,663957.47706422
10460,2012,440940.016949153
10460,2013,628440.322368421
10460,2014,1426137.97916667
10461,2003,180328.780201342
10461,2004,258257.1950078
10461,2005,310534.363787375
10461,2006,385494.098039216
10461,2007,368972.337078652
10461,2008,400741.204481793
10461,2009,261345.623287671
10461,2010,279795.569131833
10461,2011,233858.800675676
10461,2012,276897.186335404
10461,2013,251385.851515152
10461,2014,476615.887640449
10462,2003,146608.982022472
10462,2004,142104.782039289
10462,2005,249510.869715272
10462,2006,238813.461956522
10462,2007,266946.732122588
10462,2008,190044.238655462
10462,2009,255382.671270718
10462,2010,193831.95177665
10462,2011,313770.229226361
10462,2012,357215.490813648
10462,2013,225307.769053118
10462,2014,520304.491847826
10463,2003,344971.807291667
10463,2004,442997.826732673
10463,2005,525006.497175141
10463,2006,821599.6875
10463,2007,470952.461904762
10463,2008,1083920.16788321
10463,2009,570060.261363636
10463,2010,707454.666666667
10463,2011,517859.638655462
10463,2012,612829.172727273
10463,2013,617891.85645933
10463,2014,901700.188034188
10464,2003,249516.456521739
10464,2004,321379.5
10464,2005,357470.032258065
10464,2006,351420.803278689
10464,2007,356171.428571429
10464,2008,171231.716049383
10464,2009,257797.897058824
10464,2010,285291.37254902
10464,2011,214743.933333333
10464,2012,206215.947368421
10464,2013,264783.854166667
10464,2014,346075.438596491
10465,2003,191251.856403622
10465,2004,231984.41086351
10465,2005,314762.121854305
10465,2006,342493.044615385
10465,2007,338723.545454545
10465,2008,280297.235436893
10465,2009,229668.435530086
10465,2010,248793.075075075
10465,2011,234179.719135802
10465,2012,239535.381107492
10465,2013,243926.762376238
10465,2014,266470.552980132
10466,2003,167509.455583756
10466,2004,215130.835414302
10466,2005,286879.443194601
10466,2006,309262.865577889
10466,2007,405185.307565789
10466,2008,265443.133891213
10466,2009,219972.684085511
10466,2010,271624.740458015
10466,2011,340111.726315789
10466,2012,341565.245454545
10466,2013,343215.623626374
10466,2014,345743.316326531
10467,2003,234377.844863732
10467,2004,384840.591111111
10467,2005,571513.84067086
10467,2006,524629.865384615
10467,2007,580324.646616541
10467,2008,464008.805280528
10467,2009,317117.071428571
10467,2010,350750.709090909
10467,2011,409365.528205128
10467,2012,618498.713615024
10467,2013,550479.421875
10467,2014,660576.6
10468,2003,409929.539007092
10468,2004,906622.904761905
10468,2005,543482
10468,2006,892944.75
10468,2007,1244270.456
10468,2008,1213071.97916667
10468,2009,869428.46835443
10468,2010,906104.797101449
10468,2011,1131949.95238095
10468,2012,1223038.78666667
10468,2013,1188272.55681818
10468,2014,2487902.73170732
10469,2003,175248.563674322
10469,2004,221728.886260237
10469,2005,362373.806776557
10469,2006,328319.765482233
10469,2007,476269.972740316
10469,2008,261623.285971223
10469,2009,242991.830917874
10469,2010,224551.113425926
10469,2011,233217.234468938
10469,2012,212092.123348018
10469,2013,220488.968992248
10469,2014,301145.938574939
10470,2003,180889.472222222
10470,2004,298092.745192308
10470,2005,360037.38410596
10470,2006,313897.101265823
10470,2007,432572.488188976
10470,2008,252067.855555556
10470,2009,243050.088235294
10470,2010,291791.337837838
10470,2011,192093.263888889
10470,2012,283516.666666667
10470,2013,260836.79787234
10470,2014,521566.338028169
10471,2003,452732.488888889
10471,2004,561607.258503401
10471,2005,701318.702290076
10471,2006,689929.795081967
10471,2007,571954.607843137
10471,2008,686602
10471,2009,556192.3
10471,2010,547347.635416667
10471,2011,692874.333333333
10471,2012,586077.226086957
10471,2013,592658.451612903
10471,2014,615143.957894737
10472,2003,178990.938073394
10472,2004,327716.535714286
10472,2005,369279.555555556
10472,2006,456608.722222222
10472,2007,378929.288888889
10472,2008,458758.75462963
10472,2009,337668.192307692
10472,2010,271883.548611111
10472,2011,498935.738888889
10472,2012,268395.503401361
10472,2013,491456.493150685
10472,2014,367185.884615385
10473,2003,272651.024561403
10473,2004,208724.780952381
10473,2005,339821.471092077
10473,2006,290815.734989648
10473,2007,359091.241237113
10473,2008,267303.75
10473,2009,249697.229508197
10473,2010,272503.701067616
10473,2011,271145.370192308
10473,2012,364938.15819209
10473,2013,192997.659192825
10473,2014,287567.701149425
10474,2003,232254.2625
10474,2004,262772.97826087
10474,2005,488405.015873016
10474,2006,564950.527777778
10474,2007,485213.510204082
10474,2008,337344.375
10474,2009,150509.318181818
10474,2010,265898.689655172
10474,2011,169349.615384615
10474,2012,959015.545454545
10474,2013,609668.081081081
10474,2014,311283.722222222
10475,2003,192799.292682927
10475,2004,224335.714285714
10475,2005,262650
10475,2006,337775.730769231
10475,2007,258923.318181818
10475,2008,163333.333333333
10475,2009,173241.2
10475,2010,140000.952380952
10475,2011,206809.523809524
10475,2012,185231.9
10475,2013,406357.142857143
10475,2014,149078.133333333
10803,2004,533000
10803,2005,1550000
10803,2007,875000
10803,2008,0
10803,2009,1078333.33333333
10803,2010,0
10803,2011,0
10803,2012,211666.666666667
10803,2013,685833.333333333
11001,2003,237470.238095238
11001,2004,318062.011764706
11001,2005,336441.836734694
11001,2006,311001.479452055
11001,2007,305255.223880597
11001,2008,358175.917808219
11001,2009,299928.102941176
11001,2010,247556.603773585
11001,2011,242717.509803922
11001,2012,294326.527777778
11001,2013,266251.76744186
11001,2014,246327.115384615
11004,2003,206964.087912088
11004,2004,277822.490066225
11004,2005,368872.540540541
11004,2006,373399.815789474
11004,2007,446518.946564885
11004,2008,344294.728
11004,2009,278993.496062992
11004,2010,316694.869565217
11004,2011,283485.509433962
11004,2012,293003.655172414
11004,2013,336354.833333333
11004,2014,301407.636363636
11005,2003,368750
11005,2010,480000
11040,2003,205571.363636364
11040,2004,261726.578947368
11040,2005,359456.52173913
11040,2006,346027.777777778
11040,2007,383398.65
11040,2008,208172.1875
11040,2009,345048.5
11040,2010,386473.684210526
11040,2011,317964.285714286
11040,2012,240522.727272727
11040,2013,279041.666666667
11040,2014,309869.565217391
11101,2003,314854.066666667
11101,2004,473062.29661017
11101,2005,557473.155963303
11101,2006,641173.182539682
11101,2007,696445.427645788
11101,2008,636891.6
11101,2009,531279.335154827
11101,2010,588993.495297806
11101,2011,456106.971751412
11101,2012,434721.264033264
11101,2013,535511.695378151
11101,2014,645339.475655431
11102,2003,343172.182509506
11102,2004,331621.22826087
11102,2005,356043.694117647
11102,2006,378440.603389831
11102,2007,471462.520491803
11102,2008,342549.795918367
11102,2009,248818.516483516
11102,2010,413507.26984127
11102,2011,446468.308641975
11102,2012,398337.140350877
11102,2013,551430.719457014
11102,2014,522527.267045455
11103,2003,231454.737254902
11103,2004,319361.737588652
11103,2005,395172.52173913
11103,2006,486557.792792793
11103,2007,414393.944954128
11103,2008,345496.979338843
11103,2009,304377.547169811
11103,2010,325945.757936508
11103,2011,229252.088353414
11103,2012,318835.65530303
11103,2013,511618.312267658
11103,2014,587062.772151899
11104,2003,368378.903703704
11104,2004,460748.171641791
11104,2005,392408.516129032
11104,2006,937632.435483871
11104,2007,668804.406779661
